IndicatorID,IndicatorName,Pillar,Unit,Baseline2016,Baseline2016_Note,Target2030,Latest2025Actual,PrimarySource,SourceURL
IND01,Non-Oil GDP Share of Real GDP,Economic Diversification,%,47,2016 share per GASTAT rebased series,65,55.0,Vision 2030 Annual Report 2025 / GASTAT National Accounts,https://www.vision2030.gov.sa/en/annual-reports
IND02,Private Sector GDP Contribution,Economic Diversification,%,40,Vision 2030 baseline,65,51.0,Vision 2030 KPI framework,https://www.vision2030.gov.sa/en/explore/key-performance-indicator
IND03,Non-Oil Exports Share of Non-Oil GDP,Economic Diversification,%,16,Vision 2030 baseline,50,32.0,Vision 2030 KPI framework / GASTAT International Trade Statistics,https://www.stats.gov.sa/en/international-reports
IND04,Female Labor Force Participation Rate (Saudi females 15+),Social Development,%,17.4,GASTAT Labor Force Survey baseline,30,35.0,GASTAT Labor Market Statistics Bulletin,https://www.stats.gov.sa/en/w/news/6
IND05,Household Entertainment Spending Share of Income,Social Development,% of household income,2.9,Vision 2030 baseline per official entertainment sector target,6,2.9,Vision 2030 / General Entertainment Authority target framework (yearly progression not independently published - baseline value held flat pending GASTAT Household Expenditure Survey update),https://www.stats.gov.sa/en/w/hes-2
IND06,Home Ownership Rate (Saudi Families),Quality of Life,%,47,Vision 2030 baseline,70,64.0,Ministry of Municipal and Rural Affairs and Housing / Vision 2030 KPI framework,https://www.vision2030.gov.sa/en/explore/key-performance-indicator
IND07,Annual Tourist Visits (Domestic + Inbound),Quality of Life,Millions,18,Vision 2030 baseline,150,123.0,Vision 2030 Annual Report 2025 / Ministry of Tourism,https://www.vision2030.gov.sa/en/annual-reports
